Wavelength,H2O_CH4_10_0.6_a_V3,H2O_40K,CH3OH,all
3.222641,0.22943675221641605,0.09809329753270273,0.0817392998762636,0.4092693496253824
3.224943,0.22178267408292696,0.09395133696698917,0.07967538279794674,0.3954093938478629
3.227245,0.2143083423270398,0.08986977897803068,0.0776952499389998,0.3818733712440703
3.229546,0.2071920419736928,0.08648626044463699,0.07652860339602861,0.3702069058143584
3.231848,0.2000976619102972,0.08279683208703206,0.07460400193829202,0.3574984959356212
3.234149,0.19307099118697385,0.07919118794879709,0.07274029017486497,0.34500246931063594
3.236451,0.18609108374888025,0.0758393320564444,0.07151616376046556,0.3334465795657902
3.238753,0.17970448549213897,0.07245191658261488,0.06956379660212379,0.3217201986768777
3.241054,0.1732550490708703,0.06953505666640969,0.06832797936641695,0.3111180851036969
3.2433560000000003,0.16671354743180555,0.06596740769742387,0.06649885294935773,0.29917980807858713
3.245658,0.16059145400714506,0.06335109931233067,0.06533756469948579,0.2892801180189615
3.247959,0.15465738795851247,0.060245237784988574,0.06340760494864994,0.278310230692151
3.250261,0.1488830964677482,0.057428724085005524,0.062185914122022914,0.2684977346747766
3.252562,0.1435900771208067,0.05478952117485192,0.06095642941452425,0.2593360277101829
3.254864,0.13834187258887698,0.05234906222692472,0.05910635694262256,0.2497972917584243
3.257166,0.13336109559435494,0.04991785851253256,0.05794019751720585,0.2412191516240933
3.259467,0.12792437656884284,0.04746765721351583,0.05669463793040945,0.2320866717127681
3.261769,0.12312578153969495,0.045061783611956466,0.05549291892351597,0.22368048407516736
3.264071,0.11862871227676805,0.04273482305422227,0.05392878445609196,0.21529231978708224
3.266372,0.11427290710463928,0.04082678359333787,0.053044666094717134,0.2081443567926943
3.2686740000000003,0.1099404835751254,0.03904636893172631,0.051286171723057015,0.20027302422990872
3.270975,0.10593735151243763,0.036937637038397586,0.05007763307040085,0.19295262162123605
3.273277,0.10180708176803148,0.035346223987922906,0.04885350665600143,0.1860068124119558
3.275579,0.09831688449020744,0.03361695666953138,0.047671272351287,0.17960511351102582
3.27788,0.09456948914361983,0.03202456938394774,0.04651095833652402,0.17310501686409158
3.280182,0.0912882652966662,0.03033378435235985,0.04529900986098651,0.16692105951001254
3.282484,0.08820042711883974,0.02909699288154405,0.04470911050251549,0.16200653050289926
3.284785,0.08509553982660661,0.02747489142513734,0.04345283432952062,0.15602326558126456
3.287087,0.08238132081306361,0.026387157925991344,0.04228229084611362,0.15105076958516858
3.289388,0.07976111548753459,0.025231715086773118,0.04115022964951026,0.14614306022381796
3.29169,0.07749601885921892,0.024114754534358532,0.0405340259430975,0.14214479933667495
