Wavelength,H2O_CH4_10_0.6_a_V3,H2O_40K,HNCO_NH3,all
3.059226,0.8044408950721162,0.3867147993118801,0.006267490134879137,1.1974231845188754
3.061528,0.8018760695547881,0.3847805715265922,0.006432294236992949,1.1930889353183731
3.063829,0.7975319518451773,0.38342957262962335,0.00658821668090901,1.1875497411557097
3.066131,0.7949074218477421,0.3814612984879108,0.006740191721181626,1.1831089120568343
3.068433,0.7895986573727646,0.3789739407670853,0.006884271954167354,1.1754568700940171
3.070734,0.7852283881140161,0.3774502429607157,0.007038714121717123,1.1697173451964489
3.073036,0.7803928186507965,0.3747008763230565,0.007180327227425698,1.1622740222012788
3.075337,0.7757852117479856,0.3720181221218805,0.0073352628204308955,1.1551385966902972
3.077639,0.7708746416155406,0.3704761675736599,0.0074788496279611935,1.1488296588171618
3.079941,0.7639962907668384,0.36788815105992656,0.007628850966412089,1.139513292793177
3.082242,0.7590886811871259,0.3642392698170176,0.0077753983266749685,1.1311033493308185
3.084544,0.7532697147912332,0.361620167499592,0.00792243911239328,1.1228123214032184
3.086846,0.7477433496904108,0.3584661919884798,0.008058624538092116,1.1142681662169829
3.089147,0.7412335876569153,0.3554064607393548,0.008182474327405192,1.1048225227236752
3.0914490000000003,0.7349591895656602,0.3524478817085931,0.008301883287619391,1.0957089545618728
3.09375,0.7264007250412168,0.3492519650337693,0.008432147607853059,1.0840848376828391
3.096052,0.7210090650897268,0.3458937113841088,0.008558464524443287,1.0754612409982791
3.098354,0.7143463411650479,0.34253496430899283,0.008676393208291194,1.065557698682332
3.100655,0.7070949606720403,0.33852538905816404,0.008803696975792282,1.0544240467059969
3.102957,0.6998179220553501,0.3355174674818593,0.008920638808729326,1.0442560283459388
3.105259,0.6919216344920947,0.3312986798379278,0.008999586881598218,1.0322199012116209
3.10756,0.6842686056783664,0.32772677296606595,0.00903511351438922,1.0210304921588216
3.109862,0.6763101465077268,0.3230940013650283,0.00907014672172479,1.0084742945944798
3.112163,0.6681479026239943,0.3195339367040967,0.00909432456904089,0.996776163897132
3.114465,0.6599955272493704,0.3157681136282506,0.009128370925465598,0.9848920118030864
3.116767,0.6515540045578639,0.31138057447856193,0.009160443580068588,0.9720950226164946
3.119068,0.6427448799020621,0.30775537765751354,0.009195970212859587,0.9596962277724352
3.12137,0.6343753973270486,0.3031902053438699,0.009231496845650588,0.9467970995165692
3.123672,0.6254552519437748,0.2987533236486381,0.009232977122016879,0.93344155271443
3.125973,0.6163337889746853,0.2943100274224858,0.00917228579099892,0.9198161021881701
3.128275,0.6073494982822054,0.289948639821935,0.009123436670911294,0.9064215747750516
3.130576,0.598201883763978,0.2856691608469856,0.009066692743536777,0.8929377373545004
3.132878,0.5887606810997693,0.28149034066494405,0.00900994881616226,0.8792609705808756
3.13518,0.5793648735774604,0.2764282889176818,0.008958139143342052,0.8647513016384842
3.137481,0.5698402820112839,0.2722001261900973,0.008899421514145814,0.8509398297155271
3.139783,0.5607513851222528,0.2672194896429811,0.008841690735860436,0.8368125655010943
3.142085,0.5511828786905432,0.2624401706816805,0.00879333504122824,0.8224163844134519
3.144386,0.5412689744400321,0.2580156246228346,0.008737084539309155,0.8080216836021759
3.146688,0.5317611593393404,0.2529091645845836,0.008685768291944375,0.7933560922158683
3.148989,0.5227921648359789,0.24871060738432485,0.008627544088203569,0.7801303163085073
3.151291,0.5124159209337295,0.2436145092806379,0.00856981330991819,0.7646002435242856
3.153593,0.5030827784442601,0.2386304187553337,0.008522444466196856,0.7502356416657906
3.155894,0.4934644360415521,0.2339344886960009,0.008466687389733201,0.7358656121272862
3.158196,0.483691651471294,0.2287826335158503,0.008410930313269548,0.7208852153004138
3.160498,0.4740284073521416,0.2241089076020119,0.008358627214993905,0.7064959421691475
3.162799,0.4646296392771001,0.21935919416803726,0.008300896436708527,0.6922897298818459
3.165101,0.4544833316370813,0.21445997282106707,0.008244152509334012,0.6771874569674823
3.167402,0.4453855530898523,0.20907867480414125,0.008200731069256121,0.6626649589632497
3.1697040000000003,0.43570207852702736,0.20455643050512007,0.008157803054633664,0.6484163120867811
3.172006,0.4249794499550656,0.19974355861285026,0.008123756698208952,0.6328467652661248
3.174307,0.41595075097159695,0.1947402244947842,0.008090697192695106,0.6187816726590762
3.176609,0.4069072492244654,0.1896204419692366,0.008057144261725825,0.604584835455428
3.1789110000000003,0.3975400603785714,0.18504244059375166,0.008023591330756547,0.5906060923030797
3.181212,0.3877983616120057,0.18022858185057106,0.007990531825242697,0.5760174752878193
3.183514,0.3787242674866374,0.17515271419055675,0.00795796574518428,0.5618349474223784
3.1858150000000003,0.3691379977385322,0.17022635444353792,0.007935761599689905,0.54730011378176
3.188117,0.3600782129513715,0.16527532342374754,0.007902208668720627,0.5332557450438397
3.190419,0.350661188134479,0.1609090015686424,0.007868655737751347,0.5194388454408727
3.19272,0.34185502403140955,0.1565012319752811,0.007835102806782068,0.5061913588134728
3.1950220000000003,0.3323718802034893,0.15124674430040091,0.007801549875812789,0.491420174379703
3.197323,0.3237226253952468,0.14703979886739987,0.007767996944843509,0.4785304212074902
3.199625,0.3151207394307257,0.14179814025436088,0.007734444013874232,0.4646533236989608
3.201927,0.3062390812329754,0.1377989269380961,0.007722601802943895,0.4517606099740154
3.204228,0.2971437698130236,0.1332574390463131,0.007771450923031524,0.4381726597823682
3.20653,0.2888300443144739,0.12885707083478326,0.007823754021307163,0.4255108691705643
3.208832,0.2797228906835918,0.12443301820139276,0.007867175461385054,0.4120230843463696
3.211133,0.27192479478596704,0.11997541263703294,0.00792243911239328,0.3998226465353932
3.213435,0.2638558083133109,0.11561797244012555,0.007965367127015741,0.3874391478804522
3.215736,0.25577300592790264,0.11128865749417773,0.008009281992549059,0.37507094541462943
3.218038,0.24770698000797906,0.107097008250295,0.00806109166536927,0.3628650799236433
3.22034,0.2401610245180793,0.10289647734821453,0.008106486807268882,0.35116398867356274
3.222641,0.23240783033689874,0.09936355108733162,0.00814842797098048,0.3399198093952108
3.224943,0.22465463615571807,0.09516795443980547,0.008205665323810429,0.32802825591933404
3.227245,0.21708351596759146,0.0910335425487527,0.008247606487522027,0.31636466500386623
3.229546,0.2098750634892062,0.08760620933533192,0.008292508203966209,0.30577378102850433
3.231848,0.2026888151563153,0.08386900493590077,0.00834431787678642,0.2949021379690025
3.234149,0.1955711529617293,0.08021666971480368,0.00838724589140888,0.28417506856794184
3.236451,0.18850085961086466,0.07682140915598591,0.00844053584059538,0.27376280460744595
3.238753,0.1820315584647144,0.07339012853892167,0.00848395728067327,0.2639056442843093
3.241054,0.17549860543481358,0.07043549691180342,0.00852589844438487,0.2544600007910019
3.2433560000000003,0.1688723949938364,0.0668216488762299,0.008593497731778858,0.2442875416018452
