Wavelength,CO_NH3_10K,H2O_CH4_10_0.6_a_V3,CH3OH,all
3.098354,0.006372838171077311,0.7233920834699376,0.24345351089094736,0.9732184325319624
3.100655,0.006939468129208223,0.7160488790037189,0.24175462036392345,0.9647429674968506
3.102957,0.007668492034775245,0.7086796915059105,0.2406413473950384,0.956989530935724
3.105259,0.00845897580352578,0.7006834135341565,0.2385517120467989,0.9476941013844812
3.10756,0.009201990572256524,0.6929334746888209,0.23697873928824856,0.939114204549326
3.109862,0.009808594425140944,0.6848742378328303,0.2353637939402071,0.9300466261981784
3.112163,0.010209832393729235,0.6766086357451746,0.23308578161294174,0.9199042497518456
3.114465,0.010348242004313241,0.6683530271312073,0.2307223250856409,0.9094235942211614
3.116767,0.010239812814794365,0.6598046097381705,0.22843581830574045,0.8984802408587053
3.119068,0.009946504362040531,0.6508839354502418,0.2260213950626289,0.8868518348749113
3.12137,0.009520782382915715,0.6424084704151302,0.22329517544043986,0.8752244282384858
3.123672,0.008986131540587606,0.6333753695482073,0.22063791078670075,0.8629994118754956
3.125973,0.008360040414010858,0.6241384018180414,0.2178207505539476,0.8503191927859998
3.128275,0.00766649334003757,0.6150403433721441,0.2149131493843146,0.8376199860964961
3.130576,0.006944964539736831,0.6057768929367039,0.21182816405671295,0.8245500215331537
3.132878,0.00623642725523098,0.5962161366590347,0.2080911045709448,0.8105436684852105
3.13518,0.005559869086527931,0.5867013503603321,0.20531741594873607,0.7975786353955959
3.137481,0.004919787096787454,0.5770561492299959,0.20164481436825796,0.7836207506950412
3.139783,0.0043196790018004815,0.5678521599630018,0.1979877026719968,0.7701595416367991
3.142085,0.0037645415384112008,0.5581624878747525,0.19438505540733725,0.7563120848205009
3.144386,0.003260370790832637,0.5481230442074101,0.19088634026903686,0.7422697552672796
3.146688,0.002811663822224559,0.5384948319823444,0.1872976838675411,0.7286041796721099
3.148989,0.002415922264164873,0.5294122634206638,0.1830919304657881,0.7149201161506168
3.151291,0.002071647095600324,0.5189046255110211,0.179825063917058,0.7008013365236795
3.153593,0.001773841579686722,0.5094532977702395,0.1756058193258257,0.6868329586757521
3.155894,0.0015190080006331364,0.499713158639864,0.17167988318734725,0.6729120498278445
3.158196,0.0013006506005421232,0.4898166216462653,0.16736769929081302,0.6584849715376204
3.160498,0.0011162710109915877,0.4800310122106076,0.16370009444717906,0.6448473776687783
3.162799,0.0009613721688217613,0.4705132278697984,0.1594738544243649,0.6309484544629851
3.165101,0.0008334557056105499,0.4602384378970948,0.1560845678229522,0.6171564614256575
3.167402,0.0007265255371449277,0.45102545450378095,0.15192628342121905,0.6036782634621449
3.1697040000000003,0.0006350852528962883,0.44121935844706217,0.1483486198407804,0.5902030635407389
