Wavelength,H2O_40K,CH3OH,H2O_CH3OH_CO_NH3_100K_NASA,all
3.045416,0.3890194435497955,0.2366194721211055,0.4532481625863216,1.0788870782572226
3.047718,0.38906162957836776,0.2382416720802748,0.4541414272145789,1.0814447288732214
3.05002,0.3887187454624139,0.23978931068661866,0.456368947630239,1.0848770037792717
3.052321,0.3872240846593934,0.2414066052936284,0.4573068509631485,1.0859375409161705
3.054623,0.38654175017399744,0.2421600673853381,0.4589908583595284,1.087692675918864
3.056924,0.3849931304972217,0.2429267739278787,0.4590894559379357,1.087009360363036
3.059226,0.3844496174779415,0.24377392824583616,0.4601141840040696,1.0883377297278471
3.061528,0.38252671943139055,0.2446044043664511,0.4614293089180498,1.0885604327158915
3.063829,0.3811836340101008,0.2453686582329119,0.4620827018257044,1.088634994068717
3.066131,0.3792268890336489,0.2453210763169641,0.4624309818290337,1.0869789471796467
3.068433,0.3767541010100104,0.24541918336015545,0.4626164041406655,1.0847896885108312
3.070734,0.3752393282631357,0.2462045302409024,0.4626301391267122,1.0840739976307499
3.073036,0.3725060660398241,0.2462305286073481,0.4626311201971441,1.0813677148443162
3.075337,0.3698390260706667,0.2462104166634938,0.4626311201971441,1.0786805629313043
3.077639,0.3683061035208015,0.24539612820500545,0.4623745702791987,1.0760768020050056
3.079941,0.3657332463131079,0.24542212657145115,0.4613184479592435,1.0724738208438025
3.082242,0.36210573839110705,0.2453544327116492,0.4613547475652244,1.0688149186679805
3.084544,0.359501977464808,0.24460146115515535,0.4607724822638836,1.064875920883847
3.086846,0.3563664763644118,0.24376902289367655,0.4599233658050624,1.0600588650631508
3.089147,0.3533246674902634,0.24302144722455835,0.4588500747525488,1.0551961894673705
3.0914490000000003,0.35038341833538617,0.24210022208899135,0.4572582879767688,1.0497419284011462
3.09375,0.3472062217416336,0.2408576963869727,0.4563400060524975,1.0444039241811038
3.096052,0.3438676390618313,0.23977116088362824,0.4545250257534572,1.0381638256989167
3.098354,0.340528565846813,0.239001020594576,0.4534424145318404,1.0329720009732295
3.100655,0.33654247668194764,0.2373332008603227,0.4514979329357875,1.025373610478058
3.102957,0.3335521740054747,0.2362402883991709,0.4502269561912433,1.0200194185958888
3.105259,0.32935809790904363,0.2341888701260393,0.447956268676579,1.0115032367116619
3.10756,0.325807113480732,0.23264466526620714,0.4458577590227156,1.0043095377696547
3.109862,0.32120147833811313,0.23105925544823466,0.4441148874004209,0.9963756211867688
3.112163,0.3176622667549845,0.2288229053986873,0.4424323516096889,0.9889175237633608
3.114465,0.3139185019868018,0.22650267382721145,0.4404554946893828,0.980876670503396
3.116767,0.3095566628465135,0.22425798467899288,0.4375824299295236,0.97139707745503
3.119068,0.30595270061487856,0.2218877185154894,0.4348707512557141,0.9627111703860821
3.12137,0.3014142687968457,0.2192113583772288,0.4330101511815897,0.9536357783556644
3.123672,0.2970033761349617,0.2166026920987703,0.4308184398366946,0.9444245080704264
3.125973,0.29258610651527034,0.2138370545512056,0.4274170686492498,0.9338402297157258
3.128275,0.2882502657414277,0.21098263012955265,0.4255589212512052,0.9247918171221856
3.130576,0.28399585381343395,0.2079540657062351,0.4226574054488205,0.9146073249684896
3.132878,0.2798415110694954,0.2042853528260938,0.4198647884643781,0.9039916523599674
3.13518,0.2748091102889941,0.2015623918423173,0.4170795295081752,0.8934510316394866
3.137481,0.27060571402345984,0.1979569580050345,0.41430310018585936,0.8828657722143537
3.139783,0.26565425155359146,0.19436673075944635,0.4116174198784957,0.8716384021915334
3.142085,0.26090292745183336,0.19082997185239745,0.4084250166930485,0.8601579159972792
3.144386,0.2565042981703483,0.18739524427026755,0.4048730511943049,0.8487725936349207
3.146688,0.25142774922041083,0.18387222034926548,0.4022084639012273,0.8375084334709035
3.148989,0.247253785067834,0.17974338543655666,0.3996699441586506,0.8266671146630413
