Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,H2O_CH4_10_0.6_a_V3,H2O_40K,all
3.247959,0.3311107484007325,0.1071610299357581,0.00033259732461596834,0.4386043756611066
3.250261,0.323250495364719,0.10316006346744057,0.0003170481300937085,0.4267276069622533
3.252562,0.315595464411747,0.09949256712487786,0.00030247781948810427,0.415390509356113
3.254864,0.3084141750384228,0.09585612265637328,0.0002890047194264437,0.4045593024142225
3.257166,0.300175621054152,0.092404976871107,0.00027558271495383926,0.3928561806402128
3.259467,0.2935066451218664,0.0886379120193361,0.0002620558300615932,0.38240661297126416
3.261769,0.2859381536015024,0.08531299885252354,0.00024877366614851096,0.3714999261201744
3.264071,0.2792869800667819,0.08219701079486305,0.00023592715936317105,0.3617199180210081
3.266372,0.2728444901924073,0.07917890364455975,0.00022539340029300645,0.35224878723726005
3.2686740000000003,0.2664385941352498,0.0761769974720259,0.00021556422250351156,0.3428311558297792
3.270975,0.25999808230504906,0.07340325506974536,0.00020392249592328615,0.3336052598707177
3.273277,0.25404021325327864,0.07054141985084335,0.00019513674384714943,0.3247767698479691
3.275579,0.2485986137308947,0.06812308639838045,0.00018558993641822825,0.3169072900656933
3.27788,0.24312388196859805,0.06552654219045344,0.00017679880585903286,0.3088272229649105
3.280182,0.2376897001118662,0.06325300497680514,0.00016746444851092432,0.3011101695371823
3.282484,0.23274211712191245,0.06111346335012512,0.00016063646426809868,0.2940162169363057
3.284785,0.2276778295256989,0.05896210851048823,0.00015168128997561766,0.2867916193261628
3.287087,0.2229725569470472,0.05708144500774945,0.00014567621364074978,0.2801996781684374
3.289388,0.21855261724047975,0.05526592293645874,0.00013929733273331283,0.27395783750967184
3.29169,0.2144991102171264,0.0536964532150418,0.00013313090190668851,0.2683286943340749
3.293992,0.2102230732242098,0.052208663423212565,0.00012685690141889326,0.2625585935488413
3.296293,0.2065117678429401,0.050922373292391056,0.0001206850921092104,0.2575548262274404
3.298595,0.20311150990801533,0.04995200222807412,0.00011460202776999355,0.25317811416385944
