Wavelength,H2O_NH3_CO2_CH4_10_1_1_1_72K_b,H2O_CH3OH_CO_NH3_120K_NASA,H2O_CH3OH_CO_NH3_100K_NASA,all
3.19272,0.1092428856,0.2625609582,0.5448650765999999,0.9166689204
3.1950220000000003,0.1073390292,0.259152327,0.5392806432,0.9057719994
3.197323,0.10540056960000001,0.2557003536,0.53353794,0.8946388632
3.199625,0.103479606,0.25227667800000003,0.5262205728,0.8819768567999999
3.201927,0.1015086816,0.24894326880000006,0.5190936114000001,0.8695455618000001
3.204228,0.09960579719999997,0.2456370828,0.512010837,0.8572537170000001
3.20653,0.0976904712,0.2422940022,0.5056567463999999,0.8456412198000001
3.208832,0.0956557836,0.238340907,0.4989531768000001,0.8329498674000001
3.211133,0.0937842948,0.235192329,0.4916518776000001,0.8206285014000001
3.213435,0.091928844,0.23124281579999997,0.48423970920000003,0.8074113690000001
3.215736,0.0899359524,0.227646846,0.4775465838,0.7951293822000001
3.218038,0.08811510480000001,0.22443809039999998,0.4693165542,0.7818697494
3.22034,0.08628735599999998,0.22035640140000004,0.46244989439999995,0.7690936518000001
3.222641,0.08432100000000001,0.2170330218,0.4549605996,0.7563146214
3.224943,0.082499472,0.2131032096,0.4464196542,0.7420223358
3.227245,0.080670168,0.20934354239999997,0.43886367719999997,0.7288773876000001
3.229546,0.07889646239999999,0.2058854796,0.4305830334,0.7153649754000001
3.231848,0.0770167116,0.20226945060000004,0.423203001,0.7024891631999999
3.234149,0.0753449688,0.1984359942,0.4152397002,0.6890206631999999
3.236451,0.07352207999999999,0.1948221144,0.407098848,0.6754430424
3.238753,0.0717863796,0.1911727728,0.3986743956,0.661633548
3.241054,0.0701143452,0.1870599204,0.3901776372,0.6473519028
3.2433560000000003,0.068425398,0.183636603,0.382751811,0.634813812
3.245658,0.06683821919999999,0.1799338896,0.3741096372,0.620881746
3.247959,0.0650823984,0.17617887899999998,0.36540399479999996,0.6066652722000001
3.250261,0.06353740440000001,0.1728221868,0.35679315359999997,0.5931527448
3.252562,0.0620327484,0.1687884966,0.34869086459999993,0.5795121096
3.254864,0.06062121,0.165011994,0.3414506238,0.5670838277999999
3.257166,0.059001858,0.1617910596,0.33316998000000003,0.5539628976000001
3.259467,0.05769101879999999,0.1579808862,0.3249295062,0.5406014111999999
3.261769,0.056203372799999984,0.15425632260000002,0.31678624380000003,0.5272459392000001
3.264071,0.0548960328,0.15087025799999998,0.30886713,0.5146334208
